_id,Date,Price,Open,High,Low,Vol,Change,Exchange,Country,Currency,Source
ObjectId("5c6f6bf1afdb6c3febf8052e"),""2018-08-15T00:00:00.000Z"",36233.57,36500,36576,36000,750,-0.07,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8052f"),""2018-08-14T00:00:00.000Z"",36260,36310,36460,36148.78,1610,0,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80530"),""2018-08-13T00:00:00.000Z"",36260,36140,36818.4,36140,1650,1.43,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80531"),""2018-08-10T00:00:00.000Z"",35750,35690,36000,35569.21,5190,0.73,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80532"),""2018-08-09T00:00:00.000Z"",35490,34970,35695,34970,1180,1.89,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80533"),""2018-08-08T00:00:00.000Z"",34833,34521.02,34840,34516,5930,1.3,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80534"),""2018-08-07T00:00:00.000Z"",34385.19,34265,34558,34214,910,0.67,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80535"),""2018-08-06T00:00:00.000Z"",34155,33990,34163,33878.42,820,0.9,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80536"),""2018-08-03T00:00:00.000Z"",33850,34120,34190.87,33837,1100,-0.92,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80537"),""2018-08-02T00:00:00.000Z"",34163.34,33462,34200,33462,1820,2.24,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80538"),""2018-08-01T00:00:00.000Z"",33413.56,33330,33436.9,33150,1220,1.18,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80539"),""2018-07-31T00:00:00.000Z"",33025.23,33296,33405,32800,1190,0.36,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8053a"),""2018-07-30T00:00:00.000Z"",32906.63,33700,33700,32800,2910,-2.74,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8053b"),""2018-07-27T00:00:00.000Z"",33832.75,34900,34998.96,33653.6,1430,0.45,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8053c"),""2018-07-26T00:00:00.000Z"",33679.75,34520,34520,33668,16030.000000000002,-2.96,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8053d"),""2018-07-25T00:00:00.000Z"",34707.18,34299.01,34800,34270.28,670,0.57,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8053e"),""2018-07-24T00:00:00.000Z"",34511.19,34525,34669,34220,2230,1.28,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8053f"),""2018-07-23T00:00:00.000Z"",34075.41,34384,34485.09,34020,830,-1.8,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80540"),""2018-07-20T00:00:00.000Z"",34700,34710,34879,34504.31,820,0.33,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80541"),""2018-07-19T00:00:00.000Z"",34585,35099,35115,34565,790,-0.69,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80542"),""2018-07-18T00:00:00.000Z"",34826,35000,35190,34639,980,-0.38,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80543"),""2018-07-17T00:00:00.000Z"",34957.26,34001,34957.26,34001,4010,1.92,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80544"),""2018-07-16T00:00:00.000Z"",34300.29,34279.34,34729.74,34279.34,780,-0.2,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80545"),""2018-07-13T00:00:00.000Z"",34370.08,34250.01,34410,34093.82,1360,1.01,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80546"),""2018-07-12T00:00:00.000Z"",34025.02,33480,34063.76,33430.01,890,1.61,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80547"),""2018-07-11T00:00:00.000Z"",33486.87,33210,33796.97,33090,500,1.83,BMV,Mexico,MXN,Investing.com
