Date,Open,High,Low,Price,Vol.,Change %,Exchange,Country,Currency
4/9/2018,1425.030029,1438.47998,1402.569946,1406.079956,4208200,0.06%,NASDAQ,USA,USD
4/10/2018,1431.98999,1438.380005,1415.699951,1436.219971,4254100,2.14%,NASDAQ,USA,USD
4/11/2018,1439.439941,1448.780029,1424.890015,1427.050049,3582500,-0.64%,NASDAQ,USA,USD
4/12/2018,1439.5,1452.119995,1435.060059,1448.5,3135000,1.50%,NASDAQ,USA,USD
4/13/2018,1449.140015,1459.780029,1424.52002,1430.790039,3685300,-1.22%,NASDAQ,USA,USD
4/16/2018,1445,1447,1427.47998,1441.5,2808600,0.75%,NASDAQ,USA,USD
4/17/2018,1462.300049,1507.189941,1457.02002,1503.829956,5114400,4.32%,NASDAQ,USA,USD
4/18/2018,1514.650024,1533.800049,1504.109985,1527.839966,5227500,1.60%,NASDAQ,USA,USD
4/19/2018,1543.219971,1568.52002,1539.060059,1556.910034,6523700,1.90%,NASDAQ,USA,USD
4/20/2018,1561.199951,1561.199951,1516.089966,1527.48999,5541600,-1.89%,NASDAQ,USA,USD
4/23/2018,1546.689941,1548,1503.410034,1517.859985,4465400,-0.63%,NASDAQ,USA,USD
4/24/2018,1535.800049,1539.5,1448.449951,1460.089966,7494700,-3.81%,NASDAQ,USA,USD
4/25/2018,1458,1469.98999,1415.02002,1460.170044,6587300,0.01%,NASDAQ,USA,USD
4/26/2018,1485.01001,1529.420044,1478.5,1517.959961,8801100,3.96%,NASDAQ,USA,USD
4/27/2018,1634.01001,1638.099976,1567.390015,1572.619995,13053200,3.60%,NASDAQ,USA,USD
4/30/2018,1582.5,1596,1560.939941,1566.130005,5464100,-0.41%,NASDAQ,USA,USD
5/1/2018,1563.219971,1585,1552.180054,1582.26001,4572100,1.03%,NASDAQ,USA,USD
5/2/2018,1580.97998,1588.5,1566.359985,1569.680054,4360300,-0.80%,NASDAQ,USA,USD
5/3/2018,1560.01001,1574.800049,1546.02002,1572.079956,4251900,0.15%,NASDAQ,USA,USD
5/4/2018,1562.449951,1584.900024,1562.189941,1580.949951,3443600,0.56%,NASDAQ,USA,USD
5/7/2018,1589.339966,1606.949951,1587.829956,1600.140015,3801900,1.21%,NASDAQ,USA,USD
5/8/2018,1595,1596.880005,1582.51001,1592.390015,3067900,-0.48%,NASDAQ,USA,USD
5/9/2018,1600,1608,1592,1608,3637300,0.98%,NASDAQ,USA,USD
5/10/2018,1608.47998,1615.599976,1603.439941,1609.079956,2817500,0.07%,NASDAQ,USA,USD
5/11/2018,1610.98999,1611.099976,1597.890015,1602.910034,2263900,-0.38%,NASDAQ,USA,USD
5/14/2018,1604,1611.180054,1600.050049,1601.540039,2509500,-0.09%,NASDAQ,USA,USD
5/15/2018,1587.800049,1587.800049,1565.219971,1576.119995,5077500,-1.59%,NASDAQ,USA,USD
5/16/2018,1577.5,1594.430054,1576.670044,1587.280029,2570600,0.71%,NASDAQ,USA,USD
5/17/2018,1580.560059,1594.040039,1573,1581.76001,2147600,-0.35%,NASDAQ,USA,USD
5/18/2018,1581.329956,1583.589966,1572.099976,1574.369995,2642600,-0.47%,NASDAQ,USA,USD
5/21/2018,1585,1592.050049,1575,1585.459961,2925200,0.70%,NASDAQ,USA,USD
5/22/2018,1589.890015,1589.890015,1575.25,1581.400024,2115600,-0.26%,NASDAQ,USA,USD
5/23/2018,1571.050049,1601.859985,1566.339966,1601.859985,3299800,1.29%,NASDAQ,USA,USD
5/24/2018,1598.030029,1608.23999,1588.380005,1603.069946,3430000,0.08%,NASDAQ,USA,USD
5/25/2018,1603,1614.119995,1600.449951,1610.150024,2698400,0.44%,NASDAQ,USA,USD
5/29/2018,1600.709961,1621.790039,1600.150024,1612.869995,3846500,0.17%,NASDAQ,USA,USD
5/30/2018,1618.099976,1626,1612.930054,1624.890015,2907400,0.75%,NASDAQ,USA,USD
5/31/2018,1623,1635,1621.349976,1629.619995,3166300,0.29%,NASDAQ,USA,USD
6/1/2018,1637.030029,1646.72998,1635.089966,1641.540039,3313400,0.73%,NASDAQ,USA,USD
6/4/2018,1648.900024,1665.680054,1645.48999,1665.27002,3187700,1.45%,NASDAQ,USA,USD
6/5/2018,1672.98999,1699,1670.060059,1696.349976,4782200,1.87%,NASDAQ,USA,USD
6/6/2018,1704.51001,1714.5,1686.469971,1695.75,5473200,-0.04%,NASDAQ,USA,USD
6/7/2018,1698.560059,1699.900024,1676.109985,1689.300049,3765700,-0.38%,NASDAQ,USA,USD
6/8/2018,1681.119995,1689.439941,1673.01001,1683.98999,2955100,-0.31%,NASDAQ,USA,USD
6/11/2018,1681.51001,1694.23999,1680.589966,1689.119995,2335500,0.30%,NASDAQ,USA,USD
6/12/2018,1693,1699.51001,1691.52002,1698.75,2259200,0.57%,NASDAQ,USA,USD
6/13/2018,1702.810059,1713.75,1700.119995,1704.859985,3327500,0.36%,NASDAQ,USA,USD
6/14/2018,1713.47998,1724.800049,1708.869995,1723.859985,3174400,1.11%,NASDAQ,USA,USD
6/15/2018,1714,1720.869995,1708.52002,1715.969971,4777600,-0.46%,NASDAQ,USA,USD
6/18/2018,1706.26001,1726.73999,1702.560059,1723.790039,3107700,0.46%,NASDAQ,USA,USD
6/19/2018,1709.040039,1736.109985,1700.390015,1734.780029,4290100,0.64%,NASDAQ,USA,USD
6/20/2018,1742.5,1762.930054,1741.359985,1750.079956,4332600,0.88%,NASDAQ,USA,USD
6/21/2018,1760,1763.099976,1717.560059,1730.219971,4941100,-1.13%,NASDAQ,USA,USD
6/22/2018,1742.619995,1743,1711.900024,1715.670044,4075100,-0.84%,NASDAQ,USA,USD
6/25/2018,1702.51001,1705,1646.310059,1663.150024,7511200,-3.06%,NASDAQ,USA,USD
6/26/2018,1672.369995,1701.569946,1663.339966,1691.089966,4386600,1.68%,NASDAQ,USA,USD
6/27/2018,1708.109985,1711.949951,1660,1660.51001,4872200,-1.81%,NASDAQ,USA,USD
6/28/2018,1672.540039,1705.5,1661.170044,1701.449951,4529700,2.47%,NASDAQ,USA,USD
6/29/2018,1717,1723.410034,1694.319946,1699.800049,4543500,-0.10%,NASDAQ,USA,USD
7/2/2018,1682.699951,1713.890015,1678.060059,1713.780029,3185700,0.82%,NASDAQ,USA,USD
7/3/2018,1723.959961,1725,1692.47998,1693.959961,2177300,-1.16%,NASDAQ,USA,USD
7/5/2018,1705.380005,1710.689941,1682.150024,1699.72998,2983100,0.34%,NASDAQ,USA,USD
7/6/2018,1696,1715.27002,1691.670044,1710.630005,2650300,0.64%,NASDAQ,USA,USD
7/9/2018,1724.050049,1739.560059,1716.22998,1739.02002,3012000,1.66%,NASDAQ,USA,USD
7/10/2018,1738.530029,1750,1731,1743.069946,3002900,0.23%,NASDAQ,USA,USD
7/11/2018,1737.98999,1756.959961,1734,1755,3209800,0.68%,NASDAQ,USA,USD
7/12/2018,1764.51001,1798,1762.180054,1796.619995,4532700,2.37%,NASDAQ,USA,USD
7/13/2018,1803.930054,1815.300049,1795.22998,1813.030029,4383200,0.91%,NASDAQ,USA,USD
7/16/2018,1821.949951,1841.949951,1814.449951,1822.48999,5466200,0.52%,NASDAQ,USA,USD
7/17/2018,1811.560059,1851.689941,1797.380005,1843.930054,5682900,1.18%,NASDAQ,USA,USD
7/18/2018,1848,1858.880005,1831.27002,1842.920044,4861900,-0.05%,NASDAQ,USA,USD
7/19/2018,1829.459961,1841,1811.27002,1812.969971,4676900,-1.63%,NASDAQ,USA,USD
7/20/2018,1825.01001,1834.839966,1810.060059,1813.699951,3884400,0.04%,NASDAQ,USA,USD
7/23/2018,1812.209961,1819,1769.98999,1802,3888500,-0.65%,NASDAQ,USA,USD
7/24/2018,1829.01001,1840,1809.380005,1829.23999,4278700,1.51%,NASDAQ,USA,USD
7/25/2018,1829.300049,1863.839966,1822.640015,1863.609985,3738200,1.88%,NASDAQ,USA,USD
7/26/2018,1839,1844.680054,1804.5,1808,9924400,-2.98%,NASDAQ,USA,USD
7/27/2018,1876.050049,1880.050049,1806.530029,1817.27002,9681000,0.51%,NASDAQ,USA,USD
7/30/2018,1827.329956,1829.5,1766.02002,1779.219971,6562300,-2.09%,NASDAQ,USA,USD
7/31/2018,1786.48999,1801.829956,1739.319946,1777.439941,5738700,-0.10%,NASDAQ,USA,USD
8/1/2018,1784,1798.439941,1776.02002,1797.170044,4153100,1.11%,NASDAQ,USA,USD
8/2/2018,1788.77002,1836.560059,1786,1834.329956,4354700,2.07%,NASDAQ,USA,USD
8/3/2018,1837.73999,1841,1821.5,1823.290039,3460500,-0.60%,NASDAQ,USA,USD
8/6/2018,1825.810059,1847.77002,1818.920044,1847.75,3391800,1.34%,NASDAQ,USA,USD
8/7/2018,1854.530029,1869.719971,1846.27002,1862.47998,3377500,0.80%,NASDAQ,USA,USD
8/8/2018,1861,1891.51001,1854.5,1886.52002,3963000,1.29%,NASDAQ,USA,USD
8/9/2018,1882,1914.569946,1877.47998,1898.52002,4849900,0.64%,NASDAQ,USA,USD
8/10/2018,1888.51001,1899.5,1878.209961,1886.300049,3639900,-0.64%,NASDAQ,USA,USD
8/13/2018,1898.5,1925,1893.670044,1896.199951,5512600,0.52%,NASDAQ,USA,USD
8/14/2018,1919.390015,1921.01001,1900,1919.650024,3986100,1.24%,NASDAQ,USA,USD
8/15/2018,1909.550049,1916.209961,1869.790039,1882.619995,7700700,-1.93%,NASDAQ,USA,USD
8/16/2018,1903.939941,1905,1883.550049,1886.52002,3957100,0.21%,NASDAQ,USA,USD
8/17/2018,1885.800049,1888,1855.550049,1882.219971,4104300,-0.23%,NASDAQ,USA,USD
8/20/2018,1890.569946,1891.75,1866.060059,1876.709961,2862000,-0.29%,NASDAQ,USA,USD
8/21/2018,1880,1897.75,1874.410034,1883.420044,3105600,0.36%,NASDAQ,USA,USD
8/22/2018,1876.640015,1905.800049,1876.640015,1904.900024,3080500,1.14%,NASDAQ,USA,USD
8/23/2018,1907.170044,1919.5,1900.76001,1902.900024,3563000,-0.10%,NASDAQ,USA,USD
8/24/2018,1910.51001,1916.01001,1902.540039,1905.390015,2800900,0.13%,NASDAQ,USA,USD
8/27/2018,1915,1927.699951,1909.280029,1927.680054,3569000,1.17%,NASDAQ,USA,USD
8/28/2018,1937.72998,1941.780029,1928.819946,1932.819946,3100700,0.27%,NASDAQ,USA,USD
8/29/2018,1953.449951,1998.689941,1948.939941,1998.099976,6531800,3.38%,NASDAQ,USA,USD
8/30/2018,1997.420044,2025.569946,1986.900024,2002.380005,7277300,0.21%,NASDAQ,USA,USD
8/31/2018,2007,2022.380005,2004.73999,2012.709961,4204400,0.52%,NASDAQ,USA,USD
9/4/2018,2026.5,2050.5,2013,2039.51001,5721100,1.33%,NASDAQ,USA,USD
9/5/2018,2038.109985,2040.380005,1989.890015,1994.819946,8220600,-2.19%,NASDAQ,USA,USD
9/6/2018,2006.51001,2007.5,1935.209961,1958.310059,7488700,-1.83%,NASDAQ,USA,USD
9/7/2018,1938.709961,1975.199951,1937.349976,1952.069946,4892600,-0.32%,NASDAQ,USA,USD
9/10/2018,1971,1973.040039,1931.52002,1939.01001,4544800,-0.67%,NASDAQ,USA,USD
