Date,Price,Open,High,Low,Vol.,Change %,Exchange,Country,Currency
17-Dec-18,"1,520.00","1,606.12","1,606.12","1,520.00",0.13K,-6.75%,SIX,Switzerland,CHF
14-Dec-18,"1,630.00","1,643.37","1,643.37","1,629.14",0.00K,-1.44%,SIX,Switzerland,CHF
13-Dec-18,"1,653.85","1,674.03","1,674.03","1,653.85",0.04K,-1.81%,SIX,Switzerland,CHF
12-Dec-18,"1,684.27","1,659.69","1,684.27","1,659.69",0.03K,1.03%,SIX,Switzerland,CHF
11-Dec-18,"1,667.06","1,617.65","1,667.06","1,617.65",0.03K,4.13%,SIX,Switzerland,CHF
10-Dec-18,"1,601.00","1,610.78","1,630.00","1,597.56",34.31K,-4.86%,SIX,Switzerland,CHF
7-Dec-18,"1,682.74","1,674.48","1,691.80","1,674.48",0.02K,2.62%,SIX,Switzerland,CHF
6-Dec-18,"1,639.75","1,650.00","1,650.00","1,599.45",0.07K,-2.69%,SIX,Switzerland,CHF
5-Dec-18,"1,685.00","1,674.00","1,685.00","1,674.00",0.10K,-3.99%,SIX,Switzerland,CHF
4-Dec-18,"1,755.00","1,762.54","1,762.54","1,745.00",0.06K,-0.63%,SIX,Switzerland,CHF
3-Dec-18,"1,766.15","1,755.00","1,780.00","1,749.85",0.34K,5.15%,SIX,Switzerland,CHF
30-Nov-18,"1,679.71","1,673.99","1,690.00","1,647.28",0.06K,1.80%,SIX,Switzerland,CHF
29-Nov-18,"1,650.00","1,658.78","1,675.12","1,640.00",0.03K,2.23%,SIX,Switzerland,CHF
28-Nov-18,"1,614.00","1,600.00","1,618.35","1,600.00",0.17K,2.16%,SIX,Switzerland,CHF
27-Nov-18,"1,579.87","1,592.00","1,592.00","1,575.00",0.01K,0.69%,SIX,Switzerland,CHF
26-Nov-18,"1,569.00","1,510.00","1,569.00","1,510.00",0.05K,4.47%,SIX,Switzerland,CHF
23-Nov-18,"1,501.92","1,493.00","1,518.60","1,488.45",0.05K,0.65%,SIX,Switzerland,CHF
22-Nov-18,"1,492.25","1,500.00","1,505.00","1,486.04",0.04K,-3.30%,SIX,Switzerland,CHF
21-Nov-18,"1,543.21","1,490.00","1,543.21","1,490.00",0.03K,3.22%,SIX,Switzerland,CHF
20-Nov-18,"1,495.00","1,479.65","1,495.00","1,433.98",0.26K,-1.97%,SIX,Switzerland,CHF
19-Nov-18,"1,525.09","1,583.56","1,595.00","1,525.09",0.01K,-4.58%,SIX,Switzerland,CHF
16-Nov-18,"1,598.26","1,615.00","1,624.64","1,598.26",0.09K,0.39%,SIX,Switzerland,CHF
15-Nov-18,"1,592.00","1,620.00","1,620.00","1,550.00",0.23K,-3.00%,SIX,Switzerland,CHF
14-Nov-18,"1,641.17","1,627.94","1,670.00","1,627.94",0.02K,-0.58%,SIX,Switzerland,CHF
13-Nov-18,"1,650.79","1,670.00","1,674.58","1,640.00",35.45K,-0.43%,SIX,Switzerland,CHF
12-Nov-18,"1,657.97","1,720.00","1,720.00","1,657.97",0.06K,-4.09%,SIX,Switzerland,CHF
9-Nov-18,"1,728.71","1,744.00","1,757.28","1,728.71",0.07K,-3.53%,SIX,Switzerland,CHF
8-Nov-18,"1,792.00","1,780.00","1,792.00","1,748.29",35.67K,3.63%,SIX,Switzerland,CHF
7-Nov-18,"1,729.15","1,669.41","1,732.81","1,669.41",0.04K,5.12%,SIX,Switzerland,CHF
6-Nov-18,"1,645.00","1,640.00","1,645.00","1,633.93",0.01K,1.56%,SIX,Switzerland,CHF
5-Nov-18,"1,619.75","1,675.00","1,692.83","1,601.61",0.04K,-3.17%,SIX,Switzerland,CHF
2-Nov-18,"1,672.77","1,679.00","1,697.96","1,659.65",100.18K,3.01%,SIX,Switzerland,CHF
1-Nov-18,"1,623.83","1,620.00","1,640.71","1,608.73",0.13K,1.30%,SIX,Switzerland,CHF
31-Oct-18,"1,603.00","1,570.00","1,639.39","1,569.00",0.42K,5.79%,SIX,Switzerland,CHF
30-Oct-18,"1,515.25","1,546.00","1,546.00","1,479.00",0.32K,-2.87%,SIX,Switzerland,CHF
29-Oct-18,"1,560.00","1,632.00","1,670.01","1,560.00",0.14K,-4.77%,SIX,Switzerland,CHF
26-Oct-18,"1,638.19","1,665.07","1,665.07","1,595.61",0.31K,-5.64%,SIX,Switzerland,CHF
25-Oct-18,"1,736.18","1,685.00","1,736.18","1,662.93",0.17K,-0.51%,SIX,Switzerland,CHF
24-Oct-18,"1,745.00","1,752.00","1,764.00","1,745.00",0.16K,1.16%,SIX,Switzerland,CHF
23-Oct-18,"1,725.00","1,766.64","1,766.64","1,725.00",0.05K,-4.07%,SIX,Switzerland,CHF
22-Oct-18,"1,798.20","1,780.00","1,798.20","1,760.00",0.05K,0.57%,SIX,Switzerland,CHF
19-Oct-18,"1,788.04","1,787.08","1,788.04","1,770.00",0.02K,-0.55%,SIX,Switzerland,CHF
18-Oct-18,"1,798.00","1,830.00","1,830.00","1,798.00",0.11K,-0.55%,SIX,Switzerland,CHF
17-Oct-18,"1,808.00","1,860.00","1,860.00","1,793.00",0.33K,2.84%,SIX,Switzerland,CHF
16-Oct-18,"1,758.00","1,750.00","1,765.87","1,750.00",0.03K,0.82%,SIX,Switzerland,CHF
15-Oct-18,"1,743.73","1,775.13","1,777.36","1,734.00",0.05K,-2.58%,SIX,Switzerland,CHF
12-Oct-18,"1,790.00","1,750.00","1,790.00","1,740.00",0.35K,5.92%,SIX,Switzerland,CHF
11-Oct-18,"1,690.00","1,700.00","1,740.00","1,660.00",0.65K,-5.06%,SIX,Switzerland,CHF
10-Oct-18,"1,780.00","1,860.00","1,870.00","1,780.00",0.11K,-3.78%,SIX,Switzerland,CHF
9-Oct-18,"1,850.00","1,860.00","1,860.00","1,830.00",0.14K,-0.54%,SIX,Switzerland,CHF
8-Oct-18,"1,860.00","1,880.00","1,880.00","1,850.00",0.14K,-2.62%,SIX,Switzerland,CHF
5-Oct-18,"1,910.00","1,910.00","1,910.00","1,890.00",0.14K,-0.52%,SIX,Switzerland,CHF
4-Oct-18,"1,920.00","1,910.00","1,920.00","1,910.00",0.01K,-1.54%,SIX,Switzerland,CHF
3-Oct-18,"1,950.00","1,970.00","1,970.00","1,940.00",0.10K,-1.02%,SIX,Switzerland,CHF
2-Oct-18,"1,970.00","1,990.00","1,990.00","1,940.00",0.13K,-1.50%,SIX,Switzerland,CHF
1-Oct-18,"2,000.00","1,980.00","2,000.00","1,980.00",0.08K,1.52%,SIX,Switzerland,CHF
28-Sep-18,"1,970.00","1,980.00","1,980.00","1,940.00",0.05K,0.00%,SIX,Switzerland,CHF
27-Sep-18,"1,970.00","1,920.00","1,970.00","1,920.00",0.18K,2.60%,SIX,Switzerland,CHF
26-Sep-18,"1,920.00","1,920.00","1,930.00","1,920.00",0.05K,1.59%,SIX,Switzerland,CHF
25-Sep-18,"1,890.00","1,890.00","1,890.00","1,890.00",0.09K,6.18%,SIX,Switzerland,CHF
24-Sep-18,"1,780.00","1,830.00","1,830.00","1,780.00",0.05K,-3.78%,SIX,Switzerland,CHF
21-Sep-18,"1,850.00","1,880.00","1,880.00","1,850.00",0.06K,-1.60%,SIX,Switzerland,CHF
20-Sep-18,"1,880.00","1,850.00","1,880.00","1,850.00",0.04K,1.62%,SIX,Switzerland,CHF
19-Sep-18,"1,850.00","1,900.00","1,900.00","1,850.00",0.02K,-0.54%,SIX,Switzerland,CHF
18-Sep-18,"1,860.00","1,830.00","1,860.00","1,820.00",0.09K,0.54%,SIX,Switzerland,CHF
17-Sep-18,"1,850.00","1,910.00","1,910.00","1,840.00",0.05K,-3.14%,SIX,Switzerland,CHF
14-Sep-18,"1,910.00","1,930.00","1,930.00","1,900.00",0.08K,-1.55%,SIX,Switzerland,CHF
13-Sep-18,"1,940.00","1,950.00","1,950.00","1,940.00",0.02K,0.00%,SIX,Switzerland,CHF
12-Sep-18,"1,940.00","1,940.00","1,960.00","1,930.00",0.04K,1.04%,SIX,Switzerland,CHF
11-Sep-18,"1,920.00","1,920.00","1,920.00","1,890.00",0.16K,1.05%,SIX,Switzerland,CHF
10-Sep-18,"1,900.00","1,920.00","1,930.00","1,900.00",0.12K,-0.52%,SIX,Switzerland,CHF
7-Sep-18,"1,910.00","1,890.00","1,910.00","1,870.00",0.27K,1.06%,SIX,Switzerland,CHF
6-Sep-18,"1,890.00","1,950.00","1,960.00","1,890.00",0.12K,-2.07%,SIX,Switzerland,CHF
5-Sep-18,"1,930.00","1,990.00","2,000.00","1,930.00",19.59K,-3.50%,SIX,Switzerland,CHF
4-Sep-18,"2,000.00","1,990.00","2,000.00","1,980.00",0.06K,1.01%,SIX,Switzerland,CHF
3-Sep-18,"1,980.00","1,970.00","1,980.00","1,970.00",0.08K,0.51%,SIX,Switzerland,CHF
31-Aug-18,"1,970.00","1,960.00","1,970.00","1,930.00",0.05K,0.00%,SIX,Switzerland,CHF
30-Aug-18,"1,970.00","1,950.00","1,970.00","1,950.00",0.24K,2.07%,SIX,Switzerland,CHF
29-Aug-18,"1,930.00","1,900.00","1,930.00","1,900.00",0.10K,1.58%,SIX,Switzerland,CHF
28-Aug-18,"1,900.00","1,920.00","1,920.00","1,890.00",0.01K,0.00%,SIX,Switzerland,CHF
27-Aug-18,"1,900.00","1,900.00","1,900.00","1,890.00",0.01K,0.53%,SIX,Switzerland,CHF
24-Aug-18,"1,890.00","1,890.00","1,890.00","1,870.00",0.07K,-0.53%,SIX,Switzerland,CHF
23-Aug-18,"1,900.00","1,880.00","1,900.00","1,870.00",0.06K,3.26%,SIX,Switzerland,CHF
22-Aug-18,"1,840.00","1,870.00","1,870.00","1,840.00",0.01K,0.00%,SIX,Switzerland,CHF
21-Aug-18,"1,840.00","1,860.00","1,860.00","1,840.00",0.03K,-2.13%,SIX,Switzerland,CHF
20-Aug-18,"1,880.00","1,900.00","1,900.00","1,860.00",0.16K,0.53%,SIX,Switzerland,CHF
17-Aug-18,"1,870.00","1,910.00","1,910.00","1,850.00",0.13K,-1.58%,SIX,Switzerland,CHF
16-Aug-18,"1,900.00","1,900.00","1,910.00","1,900.00",0.10K,1.60%,SIX,Switzerland,CHF
15-Aug-18,"1,870.00","1,910.00","1,920.00","1,870.00",0.06K,-2.09%,SIX,Switzerland,CHF
14-Aug-18,"1,910.00","1,880.00","1,920.00","1,880.00",0.06K,0.00%,SIX,Switzerland,CHF
13-Aug-18,"1,910.00","1,890.00","1,910.00","1,880.00",0.04K,1.06%,SIX,Switzerland,CHF
10-Aug-18,"1,890.00","1,880.00","1,890.00","1,870.00",0.06K,1.07%,SIX,Switzerland,CHF
9-Aug-18,"1,870.00","1,900.00","1,900.00","1,870.00",0.07K,-0.53%,SIX,Switzerland,CHF
8-Aug-18,"1,880.00","1,870.00","1,880.00","1,870.00",0.06K,1.08%,SIX,Switzerland,CHF
7-Aug-18,"1,860.00","1,860.00","1,860.00","1,830.00",0.06K,1.09%,SIX,Switzerland,CHF
6-Aug-18,"1,840.00","1,840.00","1,840.00","1,800.00",0.03K,0.55%,SIX,Switzerland,CHF
3-Aug-18,"1,830.00","1,850.00","1,850.00","1,810.00",0.01K,1.10%,SIX,Switzerland,CHF
2-Aug-18,"1,810.00","1,790.00","1,810.00","1,760.00",0.15K,4.62%,SIX,Switzerland,CHF
31-Jul-18,"1,730.00","1,790.00","1,790.00","1,720.00",48.10K,-3.89%,SIX,Switzerland,CHF
30-Jul-18,"1,800.00","1,820.00","1,830.00","1,780.00",0.20K,-1.64%,SIX,Switzerland,CHF
27-Jul-18,"1,830.00","1,850.00","1,890.00","1,830.00",0.40K,0.55%,SIX,Switzerland,CHF
26-Jul-18,"1,820.00","1,830.00","1,830.00","1,810.00",0.19K,-0.55%,SIX,Switzerland,CHF
