Date,Price,Open,High,Low,Vol.,Change %,Exchange,Country,Currency
14-Jan-19,"1,433.43","1,417.01","1,434.69","1,395.00",4.30K,-0.11%,XETRA,Germany,EUR
11-Jan-19,"1,434.94","1,441.00","1,446.13","1,425.00",4.26K,-0.24%,XETRA,Germany,EUR
10-Jan-19,"1,438.38","1,429.99","1,440.00","1,407.40",5.40K,0.08%,XETRA,Germany,EUR
9-Jan-19,"1,437.22","1,452.79","1,461.93","1,425.01",7.74K,0.24%,XETRA,Germany,EUR
8-Jan-19,"1,433.74","1,437.99","1,465.13","1,413.20",12.00K,1.44%,XETRA,Germany,EUR
7-Jan-19,"1,413.35","1,411.01","1,417.89","1,382.93",14.16K,3.20%,XETRA,Germany,EUR
4-Jan-19,"1,369.53","1,336.01","1,372.00","1,329.45",5.18K,2.52%,XETRA,Germany,EUR
3-Jan-19,"1,335.89","1,330.50","1,351.86","1,318.38",7.18K,-0.31%,XETRA,Germany,EUR
2-Jan-19,"1,340.09","1,306.06","1,348.50","1,276.45",13.85K,4.28%,XETRA,Germany,EUR
28-Dec-18,"1,285.10","1,265.00","1,295.67","1,260.67",7.53K,2.77%,XETRA,Germany,EUR
27-Dec-18,"1,250.41","1,290.39","1,298.00","1,233.78",11.24K,0.41%,XETRA,Germany,EUR
21-Dec-18,"1,245.36","1,280.00","1,300.00","1,236.03",13.62K,-2.34%,XETRA,Germany,EUR
20-Dec-18,"1,275.20","1,305.01","1,318.40","1,271.60",13.80K,-6.71%,XETRA,Germany,EUR
19-Dec-18,"1,366.89","1,366.11","1,376.71","1,340.00",5.45K,1.03%,XETRA,Germany,EUR
18-Dec-18,"1,353.01","1,348.99","1,364.59","1,343.29",5.66K,-2.16%,XETRA,Germany,EUR
17-Dec-18,"1,382.82","1,413.89","1,413.89","1,346.16",7.60K,-4.12%,XETRA,Germany,EUR
14-Dec-18,"1,442.26","1,444.00","1,456.20","1,438.20",3.69K,-1.24%,XETRA,Germany,EUR
13-Dec-18,"1,460.38","1,491.90","1,491.90","1,448.09",7.94K,-2.03%,XETRA,Germany,EUR
12-Dec-18,"1,490.62","1,462.01","1,497.52","1,460.00",4.48K,2.27%,XETRA,Germany,EUR
11-Dec-18,"1,457.50","1,451.99","1,481.67","1,438.83",6.60K,2.71%,XETRA,Germany,EUR
10-Dec-18,"1,419.02","1,418.49","1,453.49","1,397.73",8.11K,-2.60%,XETRA,Germany,EUR
7-Dec-18,"1,456.88","1,486.61","1,508.58","1,452.00",7.91K,0.78%,XETRA,Germany,EUR
6-Dec-18,"1,445.63","1,452.50","1,452.50","1,417.07",12.69K,-2.78%,XETRA,Germany,EUR
5-Dec-18,"1,487.00","1,490.00","1,493.00","1,480.01",4.44K,-3.42%,XETRA,Germany,EUR
4-Dec-18,"1,539.70","1,549.89","1,553.17","1,530.43",6.44K,-1.39%,XETRA,Germany,EUR
3-Dec-18,"1,561.35","1,556.00","1,566.00","1,536.00",18.38K,4.86%,XETRA,Germany,EUR
30-Nov-18,"1,488.94","1,472.99","1,496.12","1,457.02",5.72K,1.55%,XETRA,Germany,EUR
29-Nov-18,"1,466.27","1,474.00","1,477.50","1,452.00",8.82K,2.73%,XETRA,Germany,EUR
28-Nov-18,"1,427.35","1,418.58","1,438.43","1,412.55",6.51K,0.82%,XETRA,Germany,EUR
27-Nov-18,"1,415.77","1,399.99","1,415.77","1,378.44",7.63K,3.06%,XETRA,Germany,EUR
26-Nov-18,"1,373.75","1,343.00","1,382.29","1,342.00",6.53K,2.56%,XETRA,Germany,EUR
