Date,Price,Open,High,Low,Vol.,Change %,Exchange,Country,Currency
21-Jan-19,"32,750.00","32,510.20","32,750.00","32,510.20",0.03K,1.05%,BMV,Mexico,MXN
18-Jan-19,"32,410.47","32,500.00","32,999.99","32,333.33",1.97K,0.63%,BMV,Mexico,MXN
17-Jan-19,"32,207.50","32,020.00","32,220.00","32,020.00",0.92K,1.03%,BMV,Mexico,MXN
16-Jan-19,"31,879.40","31,947.00","32,295.00","31,806.51",1.59K,0.31%,BMV,Mexico,MXN
15-Jan-19,"31,779.39","31,239.88","31,942.17","31,230.00",5.05K,3.14%,BMV,Mexico,MXN
14-Jan-19,"30,812.41","30,790.00","31,300.00","30,730.00",2.98K,-1.94%,BMV,Mexico,MXN
11-Jan-19,"31,421.58","31,630.00","31,640.00","30,000.01",1.06K,-0.42%,BMV,Mexico,MXN
10-Jan-19,"31,555.55","31,407.00","31,844.00","31,297.00",1.51K,-1.31%,BMV,Mexico,MXN
9-Jan-19,"31,973.38","32,104.18","32,104.18","31,790.00",1.74K,-0.41%,BMV,Mexico,MXN
8-Jan-19,"32,104.18","32,250.62","32,250.62","31,418.20",6.41K,1.70%,BMV,Mexico,MXN
7-Jan-19,"31,567.23","31,000.00","31,620.00","30,790.00",3.35K,3.36%,BMV,Mexico,MXN
4-Jan-19,"30,540.00","30,009.00","30,827.25","29,930.00",2.18K,3.60%,BMV,Mexico,MXN
3-Jan-19,"29,480.00","30,148.00","30,148.00","29,445.00",7.19K,-1.59%,BMV,Mexico,MXN
2-Jan-19,"29,955.00","29,020.00","30,449.99","29,020.00",23.16K,1.51%,BMV,Mexico,MXN
31-Dec-18,"29,510.00","29,301.21","29,900.00","29,301.21",0.81K,0.72%,BMV,Mexico,MXN
28-Dec-18,"29,300.00","28,620.00","29,803.27","28,600.00",0.97K,2.26%,BMV,Mexico,MXN
27-Dec-18,"28,653.13","29,048.00","29,048.00","27,374.01",2.19K,-1.37%,BMV,Mexico,MXN
26-Dec-18,"29,051.61","27,500.00","29,100.00","27,119.82",3.96K,8.35%,BMV,Mexico,MXN
24-Dec-18,"26,812.66","26,838.00","27,500.00","26,650.00",2.01K,-2.18%,BMV,Mexico,MXN
21-Dec-18,"27,410.50","28,770.00","28,770.00","27,300.00",3.73K,-5.82%,BMV,Mexico,MXN
20-Dec-18,"29,103.93","29,900.00","29,920.00","28,605.00",6.21K,-3.58%,BMV,Mexico,MXN
19-Dec-18,"30,185.00","31,000.00","31,580.00","30,000.00",4.78K,-3.32%,BMV,Mexico,MXN
18-Dec-18,"31,223.02","30,423.73","31,260.00","30,423.73",0.41K,2.63%,BMV,Mexico,MXN
17-Dec-18,"30,423.73","30,767.00","31,516.63","30,270.00",3.20K,-5.25%,BMV,Mexico,MXN
14-Dec-18,"32,108.27","33,200.00","33,355.00","32,108.00",3.25K,-4.04%,BMV,Mexico,MXN
13-Dec-18,"33,461.00","33,894.00","33,975.00","33,388.00",2.52K,0.11%,BMV,Mexico,MXN
11-Dec-18,"33,424.00","33,788.88","33,789.68","32,801.12",3.92K,-0.02%,BMV,Mexico,MXN
10-Dec-18,"33,429.73","33,200.00","33,556.00","32,650.00",7.86K,1.20%,BMV,Mexico,MXN
7-Dec-18,"33,033.33","34,500.00","34,650.00","33,033.33",4.39K,-4.23%,BMV,Mexico,MXN
6-Dec-18,"34,492.04","33,994.50","34,516.92","33,390.00",12.74K,0.71%,BMV,Mexico,MXN
4-Dec-18,"34,249.02","36,050.00","36,302.79","34,200.00",4.73K,-4.96%,BMV,Mexico,MXN
3-Dec-18,"36,037.86","35,300.00","36,057.00","35,300.00",8.13K,4.46%,BMV,Mexico,MXN
30-Nov-18,"34,498.57","34,400.00","34,546.60","34,215.00",7.92K,1.58%,BMV,Mexico,MXN
29-Nov-18,"33,961.99","33,700.00","34,258.31","33,550.00",1.78K,-0.09%,BMV,Mexico,MXN
28-Nov-18,"33,992.00","32,900.00","33,992.00","32,800.00",11.52K,4.97%,BMV,Mexico,MXN
27-Nov-18,"32,381.59","32,365.80","32,552.00","32,045.00",1.48K,-0.60%,BMV,Mexico,MXN
26-Nov-18,"32,576.86","30,671.50","32,647.00","30,671.50",8.94K,6.22%,BMV,Mexico,MXN
23-Nov-18,"30,670.40","31,200.00","31,200.00","30,670.40",0.47K,-0.45%,BMV,Mexico,MXN
21-Nov-18,"30,808.01","31,098.60","31,098.60","30,800.00",5.98K,0.81%,BMV,Mexico,MXN
20-Nov-18,"30,559.31","29,500.00","31,209.00","29,300.00",4.68K,-5.16%,BMV,Mexico,MXN
16-Nov-18,"32,221.69","32,000.00","32,411.00","31,905.01",2.87K,-1.28%,BMV,Mexico,MXN
15-Nov-18,"32,640.00","32,400.00","32,900.00","31,691.00",8.77K,-0.18%,BMV,Mexico,MXN
14-Nov-18,"32,700.00","33,837.00","33,837.00","32,700.00",2.21K,-2.27%,BMV,Mexico,MXN
13-Nov-18,"33,460.00","34,200.00","34,200.00","33,220.01",4.55K,0.03%,BMV,Mexico,MXN
12-Nov-18,"33,450.00","33,850.00","33,850.00","33,162.22",7.23K,-3.29%,BMV,Mexico,MXN
